-2.	0.5001207051837765-0.0006559162562353002*I	0.5001802624831999-0.0014911061204039686*I	0.5001187021459469-0.0025540902574520815*I	0.49983296729105525-0.0038965535013582727*I	0.4991501421788337-0.00555548205611964*I	0.497792838583459-0.0075049931712248465*I
-1.5	0.5002694407701813-0.000507359452358134*I	0.5005528029824311-0.0011881982606789228*I	0.5008226428362718-0.0021131221129117752*I	0.5010167819490249-0.0033824648803846085*I	0.5010017311344251-0.005132391813942326*I	0.5005001128259867-0.007524012072015813*I
-1.	0.5003155516940003-0.00028919405636207885*I	0.5007013748961217-0.0006966317737825695*I	0.5011710465626664-0.0012844597391201476*I	0.5017323731220046-0.0021556325635880324*I	0.5023687665249144-0.0034851174791227565*I	0.5029846007437494-0.005574736599454061*I
-0.5	0.5002139631475735-0.00008117981789881743*I	0.5004945892388113-0.00020180379022878694*I	0.5008704599027604-0.0003861263151629899*I	0.5013862437455908-0.0006784652202702945*I	0.5021134762279362-0.0011650520672191811*I	0.5031677733870191-0.002026837287236141*I
0.	0.4999953730294515+6.636399152305062*^-6*I	0.4999910473572571+0.000012960525221387793*I	0.49998705381797665+0.000018855957102307187*I	0.4999834216201805+0.000024106605868000544*I	0.49998017807458495+0.000028274562965319663*I	0.4999773481167162+0.00003037356219163208*I
0.5	0.49977678290468847-0.00008117981976922935*I	0.49948750553019705-0.00020180379644611088*I	0.4991036480046489-0.00038612632731933454*I	0.49858059974324015-0.0006784652259307345*I	0.49784687995511756-0.0011650520596186086*I	0.4967869227184974-0.002026837278353653*I
1.	0.4996751896295996-0.00028919405684092584*I	0.4992807096917905-0.0006966317791055172*I	0.49880304515360213-0.0012844597683661302*I	0.4982344491387966-0.0021556326206398223*I	0.4975915632704748-0.0034851175853521797*I	0.496970063021112-0.0055747367325120305*I
1.5	0.4997213100926309-0.000507359463992233*I	0.49942930171142547-0.0011881982734830163*I	0.4991514749082679-0.002113122125955156*I	0.49895007135336017-0.0033824648931230616*I	0.4989586403705587-0.005132391807511377*I	0.49945460483100046-0.007524012058733386*I
2.	0.4998700412457134-0.0006559162785993067*I	0.4998018329321615-0.0014911061405469268*I	0.49985540637638626-0.0025540902580920817*I	0.5001338768637283-0.0038965535020788816*I	0.5008102148556741-0.005555482056865229*I	0.5021618585003298-0.007504993172592737*I
2.5	0.5000562312930159-0.0007107525856992667*I	0.5002341646392329-0.0015672809813850243*I	0.5006042140792245-0.0025852938396087356*I	0.5012699274504863-0.0037630379366577183*I	0.5023761822313039-0.005056975126099167*I	0.5041064406574891-0.0063375634493519975*I
3.	0.5002303835675499-0.0006854936161656928*I	0.5006146151745151-0.001465548368740278*I	0.5012155994103483-0.0023281470432200777*I	0.5021135126768356-0.0032356604806974406*I	0.5034009645471911-0.004105924258317406*I	0.5051637079707544-0.0047869635397134475*I
3.5	0.5003669820106356-0.0006076754179112883*I	0.5008944040527199-0.0012584316106551434*I	0.501629159284577-0.0019234063755289837*I	0.5026220328921858-0.002549300803695073*I	0.5039177667706943-0.003047826249179221*I	0.5055345029604892-0.003286791828001273*I
4.	0.5004592400309973-0.0005038360221284765*I	0.5010680269831236-0.001008352993402419*I	0.5018561217857881-0.0014779064186892135*I	0.5028488636547249-0.0018578609964132987*I	0.5040572866319146-0.00207073193714532*I	0.5054624149202331-0.0020167019718708708*I
